stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_url,location_type,parent_station
96050,ARSLANBEY KAMPÜS 2,40.7050077,30.0257587,0,,0,
11138,SİPAHİLER MERKEZ MEVKİİ,40.856024,29.781701,0,,0,
40153,ESENTEPE CADDESİ 1,40.763099,29.836888,0,,0,
80709,VATAN CADDESİ 1,40.7707737,30.0162855,0,,0,
99032,YALOVA 2,40.658955,29.278975,0,,0,
90536,KANDIRA DEVLET HASTANESİ 1,41.06408,30.1332718,0,,0,
20317,GEBZE OTOGAR 2,40.7951573,29.4584938,0,,0,
96506,PLASTİK FABRİKASI 1,40.7292686,30.0568676,0,,0,
11444,HARBİYE CADDESİ,40.720055,30.148656,0,,0,
10380,YUVACIK GARAJ 1,40.690826,29.963074,0,,0,
11478,KÜTÜKÇÜLER 1,41.014888,30.171709,0,,0,
30294,ENSAR CAMİ,40.7850508,29.3769196,0,,0,
80095,KULFALLI CAMİ,40.7940003,29.8939759,0,,0,
20032,ABDULKADİR GEYLANİ CAMİ 1,40.819176,29.393116,0,,0,
40154,SAKARYA SOKAK 1,40.76465,29.836533,0,,0,
40280,ESENTEPE CADDESİ,40.7631,29.836792,0,,0,
11257,OMURCALI MEVKİİ 1,40.933795,30.260733,0,,0,
41370,TEMİZ SOKAK 1,40.7875157,29.5719625,0,,0,
80303,KELEŞ SOKAK 1,40.7735837,29.9977369,0,,0,
10116,ALTINKENT CAMİ,40.6972585,29.9457137,0,,0,
98235,ÇEŞME 20,40.7995224,29.6468371,0,,0,
70115,GÖLCÜK DEVLET HASTANESİ,40.705836,29.839025,0,,0,
98403,ŞEMSETTİN MERKEZ MEVKİİ 3,40.869933,29.741372,0,,0,
96513,SARIMEŞE MERKEZ CAMİ,40.7315096,30.0458648,0,,0,
41903,KORNİŞ CADDESİ 8,40.7717852,29.9326506,0,,0,
30010,BARIŞ ORTAOKULU,40.7810629,29.41425,0,,0,
96178,PİRELLİ GİRİŞ,40.756506,30.000264,0,,0,
80028,ALTINCIOĞLU CADDESİ,40.784268,29.977696,0,,0,
41747,GÜMÜŞHANELİLER 1,40.8117649,29.4665544,0,,0,
96177,FABRİKA,40.756874,29.997802,0,,0,
90346,AŞAĞI KURTYERİ SOKAK 1,41.124512,30.240238,0,,0,
98414,HİMMETLİ ORUÇLAR 1,40.8745344,29.8328156,0,,0,
98216,HEREKE RADAR CADDESİ 2,40.784682,29.6335506,0,,0,
80082,YENİ MAHALLE MUHTARLIĞI,40.7640968,29.8830846,0,,0,
96638,TEPETARLA ÜÇYOL 2,40.727025,30.081488,0,,0,
11100,DÜĞMECİLER SAPAĞI 1,40.9094565,30.2242866,0,,0,
80856,SEKBANLI MERKEZ,40.813574,29.951681,0,,0,
80328,KORNİŞ CADDESİ 3,40.771988,29.926755,0,,0,
80323,KORNİŞ CADDESİ 5,40.771058,29.929597,0,,0,
81043,SEPETÇİLER SAPAĞI 1,40.799479,29.982816,0,,0,
81051,KULMAHMUT YUKARI HORZUM 1,40.911117,29.975923,0,,0,
90628,YENİYOL SOKAK 1,40.7789878,29.7896069,0,,0,
90627,YENİYOL SOKAK,40.7789116,29.7897782,0,,0,
96574,SEKA KAMP SAPAĞI,40.7304797,30.1563856,0,,0,
11208,ARIZLI MERKEZ MEZARLIĞI 1,40.7814653,29.8980528,0,,0,
10990,ARIZLI MERKEZ MEZARLIĞI,40.7812468,29.8978887,0,,0,
81176,KAYMAZ SOKAK,40.7709103,29.9280347,0,,0,
81178,KAYMAZ SOKAK 1,40.7716979,29.9304899,0,,0,
11315,PALMİYE SOKAK,40.769844,29.918901,0,,0,
42249,ELMA TEPE CADDESİ 1,40.7834241,29.9943119,0,,0,
96052,ARSLANBEY KAMPÜS 3,40.7049802,30.0260537,0,,0,
40016,OĞUZ KAĞAN 1,40.7751568,29.8264401,0,,0,
10437,YENİKÖY ATAKENT 6/1,40.707163,29.891041,0,,0,
80207,SEMERKENT CADDESİ,40.7736101,30.0113756,0,,0,
70130,AK SOKAK,40.7116828,29.7866111,0,,0,
42272,İBRİKDERE SİTELER 1,40.7388386,30.1349714,0,,0,
96109,YEŞİL TÜRBE 2,40.7328777,30.1550808,0,,0,
41374,FINDIK SOKAK,40.7889111,29.5682355,0,,0,
90010,BELEDİYE EVLERİ,41.074482,30.135946,0,,0,
10459,ÇINARLI KENT 2,40.77065,29.8357986,0,,0,
70428,SİVRİTEPE TOKİ 2,40.694617,29.8254771,0,,0,
41324,DOĞA SOKAK,40.7786085,29.5749475,0,,0,
11087,AKÇAKESE 4,40.9124807,30.0878828,0,,0,
30246,DARICA HAYVANAT BAHÇESİ 1,40.7853837,29.3707843,0,,0,
94184,KARAMÜRSEL KENTKONUT,40.683084,29.603327,0,,0,
10377,YUVACIK TARIM MÜDÜRLÜĞÜ 2,40.688046,29.967362,0,,0,
90058,KADI DEĞİRMENİ SOKAK 1,41.072342,30.15533,0,,0,
11221,ÜĞÜMCE SAPAĞI 1,40.936328,30.037265,0,,0,
11061,ŞİRİNKÖY DEPOLAMA ALANI,40.7013292,29.8189142,0,,0,
10484,HAYAT İLKOKULU,40.6949369,29.896611,0,,0,
96108,YEŞİL TÜRBE 1,40.7327483,30.1550208,0,,0,
96459,KARTEPE HİPODROM 1,40.7451514,30.0258386,0,,0,
10436,YENİKÖY ATAKENT 5 /1,40.7055125,29.8898848,0,,0,
30184,FISTIK AĞACI SOKAK,40.7927062,29.3649427,0,,0,
80551,ÜÇKÖYLER DEPOLAMA ALANI 2,40.824366,30.201723,0,,0,
80639,KADIBAYIRI CAMİ,40.7675854,29.9162964,0,,0,
80061,KANLIBAĞ,40.7699506,29.9461823,0,,0,
80263,İZMİT KENT 3. ETAP 1,40.7825013,29.9440625,0,,0,
96057,YILDIRIM SOKAK,40.7538436,30.0105686,0,,0,
10321,YUVACIK SAPAĞI 1,40.7230431,29.9503592,0,,0,
98267,BURÇ SOKAK,40.7699363,29.7532379,0,,0,
41417,Karaköprü pazar yeri 1,40.7033148,29.8536398,0,,0,
98316,ÜRKÜTLÜ MEVKİİ,40.940236,29.796604,0,,0,
10397,AYDINKENT MUHTARLIĞI 1,40.707723,29.948157,0,,0,
10742,DÜĞMECİLER SAPAĞI,40.90949,30.224638,0,,0,
40155,SAKARYA SOKAK,40.764651,29.83668,0,,0,
90348,KURTYERİ KÖYÜ MEZARLIĞI,41.12259,30.234643,0,,0,
96330,ÇINAR CADDESİ,40.6986483,30.1303394,0,,0,
60692,ŞİŞE CAM YOLU 2,40.8045869,29.3669765,0,,0,
98391,OSMANLI MERKEZ 1,40.90913,29.78801,0,,0,
42083,SEDİR ÇOCUK PARKI 1,40.7897,29.42908,0,,0,
81057,BAĞLICA 4,40.90929,30.19591,0,,0,
10201,YUMRUKENT 1,40.6976935,29.975284,0,,0,
60224,HÜKÜMET CADDESİ,40.8013532,29.4576409,0,,0,
40067,YENİKENT MERKEZ,40.7711247,29.8106396,0,,0,
11215,FULACIK ÇIKIŞ 1,40.5633931,29.6024009,0,,0,
40115,DERİNCE ANADOLU LİSESİ,40.75638,29.824474,0,,0,
96435,KULLAR ORTAOKULU,40.7221237,30.000145,0,,0,
40119,DERİNCE İLÇE EMNİYET MÜDÜRLÜĞÜ,40.7571184,29.8087842,0,,0,
81354,YENİKÖY DEPOLAMA ALANI,40.6765473,29.8962693,0,,0,
42146,KUBİLAY ORTAOKULU 1,40.733469,30.132748,0,,0,
80351,KURUÇEŞME IŞIKLAR,40.764091,29.875057,0,,0,
90637,AHLAT CADDESİ,40.6973998,30.0393078,0,,0,
98236,ÇEŞME 19,40.7993824,29.6464924,0,,0,
98382,TÜPRAŞ SOSYAL TESİSLERİ,40.7572093,29.7859007,0,,0,
41801,GESİ BAĞLARI SOSYAL TESİSİ,40.770996,29.354862,0,,0,
10438,YENİKÖY ATAKENT 7/1,40.707089,29.889277,0,,0,
98192,ŞİRİNYALI ÜÇ EVLER 2,40.7787507,29.6679833,0,,0,
80541,KARAABDÜLBAKİ ÇIKIŞ,40.799259,30.158179,0,,0,
40349,PAŞA CADDESİ 3,40.766844,29.959518,0,,0,
11088,TERZİLER SAPAĞI 2,40.9039791,30.098373,0,,0,
80449,YEŞİLOVA MERKEZ,40.787012,29.9716,0,,0,
99034,SABİHA GÖKÇEN HAVAALANI 1,40.9089963,29.3155332,0,,0,
94042,İNÖNÜ CADDESİ 2,40.693085,29.612975,0,,0,
42270,SULTAN BEYAZIT CADDESİ 4,40.736676,30.151276,0,,0,
96114,NARLIÇEŞME 1,40.737515,30.152318,0,,0,
30179,YUSUF SAVAŞ İLKOKULU 1,40.7869019,29.3480406,0,,0,
90088,BEŞKEŞ,40.972944,30.10587,0,,0,
90087,BEŞKEŞ 1,40.973086,30.105988,0,,0,
90519,KURTYERİ KÖYÜ MEZARLIĞI 1,41.122566,30.234774,0,,0,
70463,FORD KONUTLARI,40.70834,29.820211,0,,0,
