kiosk_no,owner,distirict,term_no,lat,lon,title,term_type,address
0040001326,ÖMER BURAK BAŞKAN,null,01484,40.711054,29.932507,BAŞAR MARKET,0,BARBAROS MAH PINAR CAD 60/A 
0040001342,MS BETON İNŞ.MADEN TAŞ.SAN.LTD.ŞTİ.,null,01502,40.799595,29.430529,MS BETON İNŞ.MADEN TAŞ.SAN.LTD.ŞTİ.,0,YENİ MAH FATİH CAD 87 ÇAYIROVA/KOCAELİ 
0040001347,GÖKHAN AKA,null,01507,40.786742,29.960532,AKA MARKET,0,YEŞİLOVA MAH.ŞEHİT FATİH DUMAN SOK.NO:40/A
0040001321,İBRAHİM ÖZDEMİR,null,01479,40.785433,29.550843,ÖZDEMİR MARKET,0,ORHANGAZİ MAH. 237. SOK 3 A 
0040001351,MUSTAFA SİNAN BİLGİNOĞLU,null,01511,40.716622,29.823431,ALİYAR BÜFE,0,ŞEHİTLER MAH.ATATÜRK BULVARI NO:154
0040001014,CEVAT UNGAN,null,01108,40.696056,29.64973,EGEMEN MARKET,0,EREĞLİ MAH. BARBAROS HAYRETTİN BULVARI 139 A KARAMÜRSEL/KOCAELİ
0040000865,TUNCAY KARAKURT,null,00942,40.806563,29.403265,ZİRVE MARKET,0,HÜRRİYET MAH. SEMT 2026. SOK 1 A A GEBZE/KOCAELİ
0040000875,CİHAD AKIN,null,00952,40.763332,29.928508,FLASH BÜFE,0,ÖMERAĞA MAH. ALEMDAR CAD. 21 1 İZMİT/KOCAELİ
0040000880,ÜLKÜ ERTATLI,null,02251,40.761041,29.8659051,ERTATLI MARKET,0,YENİ MAH. SEMT ZÜLBİYE SOK. 16 A İZMİT/KOCAELİ
0040000880,ÜLKÜ ERTATLI,null,00957,40.767255,29.883109,ERTATLI MARKET,0,YENİ MAH. SEMT ZÜLBİYE SOK. 16 A İZMİT/KOCAELİ
0040000917,FETTAH GÜLBİÇEN,null,01002,40.793386,29.644537,GÜL MARKET,0,17 AĞUSTOS KALICI KON. İŞ MERKEZİ YUKARI HEREKE KÖRFEZ/KOCAELİ
0040000928,FEVZİYE UZUN,null,01013,40.783167,29.969034,UZUN MARKET,0,YENİŞEHİR MAH. TURAN GÜNEŞ CAD. NO:380 İZMİT/KOCAELİ
0040000941,UMUT DOĞAN KAYA,null,01028,40.764892,29.913383,ASO,0,KOZLUK MAH. NUMAN KAHYA SOK 2 2 İZMİT/KOCAELİ
0040000985,ESMA ALYÜZ,null,01075,40.849087,30.199213,ALYÜZ BÜFE,0,AKMEŞE ATATÜRK MAH. NİZAMOĞLU İSMAİL CAD. NO:1 İZMİT/KOCAELİ
0040000995,SEMA UZUNER,null,01085,40.762582,29.860268,YILDIRIM BÜFE,0,ŞİRİNTEPE MAH. BORA SOK. 34 1 
0040001015,HAYRİYE RAMAZAN,null,01109,40.785206,29.978371,RAMAZAN GIDA,0,KARADENİZLİLER MAH. ÇARŞIBAŞI CAD. 3 A 
0040001025,ULAŞIMPARK A.Ş.,null,01124,40.8242689,29.9208859,ULAŞIMPARK A.Ş.,0,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001025,ULAŞIMPARK A.Ş.,null,01121,40.7618189,29.9248663,ULAŞIMPARK A.Ş.,0,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001025,ULAŞIMPARK A.Ş.,null,01133,40.7754413,29.9725291,ULAŞIMPARK A.Ş.,0,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001025,ULAŞIMPARK A.Ş.,null,01129,40.765888,29.927983,ULAŞIMPARK A.Ş.,0,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001025,ULAŞIMPARK A.Ş.,null,01125,40.8242689,29.9208805,ULAŞIMPARK A.Ş.,0,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001025,ULAŞIMPARK A.Ş.,null,01132,40.7718988,29.7653929,ULAŞIMPARK A.Ş.,0,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001025,ULAŞIMPARK A.Ş.,null,01212,40.75919,29.943218,ULAŞIMPARK A.Ş.,0,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001025,ULAŞIMPARK A.Ş.,null,01120,40.7618047,29.9248287,ULAŞIMPARK A.Ş.,0,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001029,SONGÜL ALTUN,null,01142,40.793313,29.373173,TURANLAR KURUYEMİŞ MARKET,0,OSMANGAZİ MAH. ATATÜRK CAD. 339 A 
0040001031,NUMAN TURNA,null,01144,40.768189,29.854377,TURNAM GIDA,0,MERSİNCİK MAH. HAYAT CAD. 7A  
0040000866,İSMAİL SERT,null,00943,41.06721,30.153717,BİLGİ KIRTASİYE,0,KONAK MAH. BELEDİYE PASAJI KANDIRA CAD.  
0040000922,MUHAMMET AKKURT,null,01007,40.757076,29.821717,HİCRET MARKET,0,MİMAR SİNAN MAH. MEHMET AKİF ERSOY CAD. 88 /4G 
0040000952,DURSUN DEMİRCİ,null,01040,40.785023,29.406513,BURAK BÜFE,0,ABDİ İPEKÇİ MAH. SEMT ETHEM BEY CAD. 59 A 
0040000958,ŞEMSİ ÇUVALCI,null,01046,40.744418,30.011914,41 BÜFE,0,FATİH SULTAN MEHMET MAH. ORHAN GAZİ CAD. 22 B 
0040000986,MURAT TALAYMAN,null,01076,40.739138,30.052791,NİDA İLETİŞİM,0,EMEKEVLER MAH. PAŞADAĞ CAD. 6 A 
0040000998,CEMAL GÜREŞEN,null,01088,40.802058,29.9788,ŞANLI BÜFE,0,TEPEKÖY MAH. ŞANLI SOK. 47 
0040001006,BURÇİN GÜNDÜZ,null,01098,40.764868,29.92305,GÜNDÜZ MARKET,0,HACI HASAN MAH. İNÖNÜ CAD. 55 A 
0040001047,MUHARREM BAYRAKTAR,null,01162,40.78129,29.410123,KONAK BÜFE,0,ABDİ İPEKÇİ MAH.İSTASYON CAD.NO:560/C 
0040000892,SAİM OKLU,null,00974,40.773464,29.734373,BİLAL BÜFE,0,ATALAR MAH. MEHMET AKİF ERSOY CAD. 10 A 
0040000914,ERKAN TÜLEK,null,00998,40.75117,30.041925,POYRAZ MARKET,0,ERTUĞRUL GAZİ MAH. ŞEHİTLER CAD. 1 A 
0040001034,ŞERİF YETİM,null,01147,40.822775,29.353174,MEYDAN KURUYEMİŞ,0,YENİ MAH. 5122. SK. 2 B ÇAYIROVA/ KOCAELİ 
0040001052,SALİH CEBE,null,01169,40.786908,29.383081,CEBELER MARKET,0,NENEHATUN MAH. ATATÜRK CAD. 219 1 
0040001053,MEHMET ÖZDEMİR,null,01170,40.838296,29.382979,EMKA GIDA,0,ATATÜRK MAH.MUHAMMER AKSOY CAD.NO:15 
0040001054,MUHAMMET HAMİDULLAH SONUKSUN,null,01171,40.770017,29.94731,ÇAĞRI İLETİŞİM KIRTASİYE,0,KADIKÖY MAH. TURAN GÜNEŞ CAD. 204 A 
0040001065,YASEMİN ALEMİN,null,01182,40.841084,29.361704,ALEMİN AVM,0,MİMAR SİNAN MAH. TAŞKAN SOK. NO:35/B 
0040000881,KAYA YÜKSEL,null,00963,40.773349,29.575154,YÜKSEL GIDA,0,TAVŞANCIL MAH. DEFNE SOK. 2 1 
0040000908,YUSUF ŞAHİN,null,00992,40.738776,30.003728,ŞAHİN MARKET,0,KÖSEKÖY MAH. ATATÜRK CAD. 80 B 
0040000919,İSMAİL KÜÇÜK,null,01004,40.762115,29.924399,null,0,KEMALPAŞA MAH. ŞAHABETTİN BİLGİSU CAD. 142 A 
0040000937,RUKİYE SALMAN BAKAN,null,01023,40.805414,29.383698,FURKAN KURUYEMİŞ,0,B.BAĞI MAH. ANKARA CAD. NO:6/C 
0040000943,HAVVA SERT,null,01030,40.795027,29.551754,DURAK BÜFE,0,MİMAR SİNAN MAH. İSTİKLAL CAD. 175 1 
0040001022,ZEKAİ DEMİRCİ,null,01117,40.824368,29.924195,BAYDEM MARKET,0,KABAOĞLU MAH. SEMT PROF BAKİ KOMŞUOĞLU BLV 534 1 
0040001024,HALİL ÖZTÜRK,null,01119,40.7546,29.810314,BEREKET KURUYEMİŞ,0,YAVUZ SULTAN MAH. CUMHURİYET CAD. 2 B 
0040001035,MÜNEVVER AYAZ,null,01149,40.770317,29.916402,AYAZ MARKET,0,TURGUT MAH. İSMAİL KOLAYLI CAD. 103 B 
0040001038,GAMZE DÜZGÜN,null,01152,40.763724,29.97226,BARAN MARKET,0,YAHYA KAPTAN MAH. AKKAVAKLAR CAD. 9 Z 01 
0040001009,ALADDİN KURT,null,01101,40.829562,29.378344,MERKEZ BÜFE,0,ÇAYIROVA MAH. FATİH CAD. 182 B 
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02291,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02279,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02299,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02296,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02280,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02278,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02303,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02283,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02293,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02292,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02282,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02284,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02285,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02302,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02298,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02281,40.75919,29.943218,BAŞARAN TRAMVAY TVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02304,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02301,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02300,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02297,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02295,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02294,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02290,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02289,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02288,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02287,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02286,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02232,40.75919,29.943218,FİZİK TEDAVİ TRAMVAY AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02228,40.75919,29.943218,KÖRFEZ BARBAROS MH. MUHTARLIK AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02222,40.75919,29.943218,KÖRFEZ KİRAZLIYALI MUHTARLIK ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02153,40.773758,29.520699,DİLOVASI OKSİJEN ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02148,41.188598,30.254216,KANDIRA CEBECİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02142,40.80937,29.365232,GEBZE TEKNİK ÜNİVERSİTESİ-AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02129,40.690254,30.03079,ARSLANBEY MERKEZ SAĞLIK OCAĞI ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02127,41.068261,30.147596,KANDIRA OTOGAR AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02085,40.755077,30.030907,ERTUĞRUL GAZİ MAHALLESİ MUHTARLIK AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02078,40.727559,29.961729,BAŞİSKELE PEKDEMİR EVİMİZ SİTESİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02077,40.76125,29.910768,SEKAPARK TRAMVAY AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02075,40.795838,29.413926,GEBZE KÖŞKLÜ ÇEŞME MUHTARLIK ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02069,40.75919,29.943218,KÖRFEZ CENTER AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02067,40.849022,30.19582,AKMEŞE MERKEZ CAMİİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02066,40.799345,29.431766,GEBZE MUSTAFA PAŞA CAMİİ 3 AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02052,40.705844,30.137185,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02051,40.7058449,30.1371857,KARTEPE MAŞUKİYE MUHTARLIK ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,01996,40.802358,29.960595,BAYINDIRLIK KONUTLARI,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02277,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02276,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02275,40.75919,29.943218,TURAN GÜNEŞ TRAMVAY TVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02268,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02267,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02266,40.75919,29.943218,DERİNCE MERKEZ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02265,40.75919,29.943218,İZMİT LİSE DURAĞI AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02264,40.75919,29.943218,KÖSEKÖY ASKERİYE SAPAĞI DURAĞI AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02263,40.75919,29.943218,ORMANYA AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02262,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02261,40.75919,29.943218,BAŞİSKELE ALPARSLAN TÜRKEŞ ÜST GEÇİDİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02259,40.75919,29.943218,GÖLCÜK ŞİRİNKÖY MUHTARLIK YANI AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02258,40.75919,29.943218,KARAKÖRÜ MUHTARLIK ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02257,40.75919,29.943218,GÖLCÜK KAVAKLI SANAYİ PARKI AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02256,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02255,40.75919,29.943218,KÖRFEZ ÇAMLITEPE AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02254,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02150,40.72273,29.950821,YUVACIK SAPAĞI TAKSİ DURAĞI YANI AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02089,40.791037,29.373723,DARICA OSMANGAZİ MAHALLESİ MUHTARLIK ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,01997,40.736424,30.126854,KARTEPE UZUNTARLA ATALAR MAHALLESİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02239,40.7513879,30.0366017,KÖSEKÖY HAT41 DURAĞI,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02238,40.75919,29.943218,DERİNCE HAT 41 DURAĞI AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02235,40.75919,29.943218,ORDUEVİ HAT41 DURAĞI AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02234,40.75919,29.943218,GEBZE İBRAHİM AĞA CADDESİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02233,40.75919,29.943218,KANDIRA SAPAĞI ANKARA YÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02229,40.75919,29.943218,DARICA TURGUT PARK ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02208,41.065952,30.132622,KANDIRA TOKİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02154,40.75919,29.943218,ULAŞIMPARK TVM BAYİLİĞİ,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02151,40.827976,29.382223,ÇAYIROVA ÖZGÜRLÜK CADDESİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02144,40.75919,29.943218,GEBZE TATLIKUYU KÖPRÜSÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02141,40.716652,29.823071,GÖLCÜK BELEDİYE KARŞISI AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02131,40.686287,29.852421,GÖLCÜK HİSAREYN MERKEZ KAHVE ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02128,40.75919,29.943218,İHSANİYE MERKEZ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02091,40.754719,29.810114,DERİNCE 60 EVLER MERKEZ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02088,40.756103,29.946324,41 BURDA AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02083,40.738914,29.957993, VEZİRÇİFTLİĞİ MUHTARLIK ÖNÜ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02082,40.684534,29.589046,KARAMÜRSEL DEVLET HASTANESİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02080,40.776197,29.791721,KÖRFEZ YAVUZ SULTAN SELİM MAHALLESİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
0040001027,ULAŞIMPARK TVM BAYİLİĞİ,null,02076,40.723158,29.795405,DEĞİRMENDERE YÜZBAŞILAR SAHİL MEVKİİ AVM,5,YAHYAKAPTAN MAH ELZEM SOK 68/5 İZMİT/KOCAELİ
