kiosk_no,owner,distirict,term_no,lat,lon,title,term_type,address
0040000785,BAKKİ ALTUN,null,00857,40.807915,29.388716,ALTUN BÜFE,0,ULUS MAH. ANKARA CAD. NO:82/B GEBZE/KOCAELİ
0040000823,GÖKSEL AYLAN,null,01713,40.768738,29.942712,ALPEREN BÜFE,0,KADIKÖY MAH. SEMT BAĞDAT CAD. 10B İZMİT/KOCAELİ
0040000823,GÖKSEL AYLAN,null,00895,40.768553,29.942627,ALPEREN BÜFE,0,KADIKÖY MAH. SEMT BAĞDAT CAD. 10B İZMİT/KOCAELİ
0040000846,BAYRAM GÜLER,null,00921,40.877719,29.262824,GÜLER KURUYEMİŞ,0,FEVZİ ÇAKMAK MAH. SEMT TEVFİK İLERİ CAD. NO:115/A PENDİK/İSTANBUL
0040000860,TUBA KORKMAZ,null,00937,40.769091,29.779088,GÜL MARKET,0,YENİYALI MAH. HAMİT KAPLAN CAD. NO:73 KÖRFEZ/KOCAELİ
0040000717,ERDAL SİNAN SAROĞLU,null,00786,40.770755,29.974766,GÜNEŞLİ ATA MARKET,0,MEHMET ALİ PAŞA MAH. SALKIM SÖĞÜT CAD. LİTYUMPARK EVLERİ İZMİT/KOCAELİ
0040000732,YUNUS TABAK,null,01403,40.791733,29.415648,İNCİ MARKET,0,OSMAN YILMAZ MAH. BAHARİYE CAD. NO:16/6 GEBZE/KOCAELİ
0040000732,YUNUS TABAK,null,00801,40.793674,29.409903,İNCİ MARKET,0,OSMAN YILMAZ MAH. BAHARİYE CAD. NO:16/6 GEBZE/KOCAELİ
0040000754,MUKTEDİR MURAT AVCİ,null,00823,40.769016,29.755691,KARDEŞLER MARKET,0,MİMAR SİNAN MAH. M.AKİF ERSOY CAD. NO:145 KÖRFEZ/KOCAELİ
0040000774,NESLİHAN ALTINSOY,null,00844,40.772207,29.965078,ATAKAN MİNİ MARKET,0,YENİŞEHİR MAH. YEŞİL SOK. NO:14/2 İZMİT/KOCAELİ
0040000788,FİLİT BOZKURT,null,00860,40.802028,29.392029,BOZKURT MARKET,0,HÜRRİYET MAH. YAŞAR DOĞU CAD. NO:80/C GEBZE/KOCAELİ
0040000804,ŞEREF YILMAZ,null,00876,40.738837,30.113109,YILMAZ GIDA TİCARET,0,UZUNTARLA İBRİKDERE MAH.2.SK.NO:17/A
0040000820,MUSTAFA KURTULUŞ,null,00892,40.752131,29.785933,KURTULUŞ MARKET,0,GÜNEY MAH. ENGİN SOK. GENÇLER S.C BL. ALTI NO:39/1 KÖRFEZ/KOCAELİ
0040000843,ŞEVVAL FATOŞ YAKUT,null,00918,40.698358,29.817508,FORM -A OKUL,0,DÜZ AĞAÇ MAH FAHRİ KORUTÜRK CAD. 242. ADA NO:16/07 GÖLCÜK/KOCAELİ
0040000852,İSMET KUTLAY,null,00928,40.789109,29.42116,HASANOĞLU ET VE TAVUK ÜR. GIDA TEM.TAH.SAN.TİC.LTD.ŞTİ.,0,OSMAN YILMAZ MAH. İSTASYON CAD. NO:623 GEBZE/KOCAELİ
